client number,sum_time (s),throughput (n/s),avg_latency (ms),medium (ms),95% (ms),99% (ms)
8132,2309.39,3.52,283.99,86,1013,1546
25239,2702.97,9.34,107.10,35,693,1068
16038,3681.18,4.36,229.53,83,870,1347
10224,2708.52,3.77,264.92,85,884,1454
13082,3892.76,3.36,297.57,128,668,1386
5253,1761.83,2.98,335.40,88,782,1581
13121,3170.54,4.14,241.64,91,846,1387
11070,3576.34,3.10,323.07,118,833,1489
6605,2433.46,2.71,368.43,96,843,1600
10862,2095.51,5.18,192.92,83,669,1490
42208,6744.75,6.26,159.80,51,771,1562
46437,4060.56,11.44,87.44,53,132,1440
8762,2063.90,4.25,235.55,89,710,1472
14307,4200.11,3.41,293.57,119,676,1397
7085,2523.18,2.81,356.13,94,883,1579
11643,2548.58,4.57,218.89,85,766,1433
70682,10490.33,6.74,148.42,71,150,1788
67372,8203.00,8.21,121.76,72,178,1662
11034,2396.04,4.61,217.15,73,1152,1425
33805,3625.00,9.33,107.23,44,135,1241